Thème (IT),Mot français,Genre grammatical,Singulier IT,Pluriel IT,Astuce mnémotechnique
La casa,propre,m,pulito,puliti,'Pulito' → 'poli / propre'
La casa,sale (adj),m,sporco,sporchi,'Sporco' → 'sale / crasseux'
Il corpo umano,une main,f,una mano,le mani,Pluriel féminin irrégulier (le mani) !
Il corpo umano,un bras,m,un braccio,le braccia,Pluriel féminin irrégulier (le braccia) !
Il corpo umano,l'épaule,f,la spalla,le spalle,'Spalla' → 'épaule' (proche)
Il corpo umano,le coude,m,il gomito,i gomiti,'Gomito' → 'coude' (à retenir)
Il corpo umano,le poignet,m,il polso,i polsi,'Polso' → 'pouls' (au poignet !)
Il corpo umano,les doigts,f pl,il dito (sg),le dita,Pluriel féminin irrégulier !
Il corpo umano,un pouce,m,un pollice,i pollici,'Pollice' → 'pouce' (latin pollex)
Il corpo umano,la paume,f,il palmo,i palmi,'Palmo' → 'paume' (quasi identique)
Il corpo umano,le ventre,f,la pancia,le pance,'Pancia' → 'panse' = ventre
Il corpo umano,le dos,f,la schiena,le schiene,'Schiena' → à retenir par cœur
Il corpo umano,la poitrine,m,il petto,i petti,'Petto' → 'poitrine' (penser à 'pectoral')
Il corpo umano,la taille (corps),f,la vita,le vite,'Vita' → 'vie / taille' (la ligne de vie)
Il corpo umano,une jambe,f,una gamba,le gambe,'Gamba' → 'jambe' (instrument : viola da gamba)
Il corpo umano,un genou,m,un ginocchio,le ginocchia,Pluriel irrégulier !
Il corpo umano,un pied,m,un piede,i piedi,'Piede' → 'pied' (quasi identique)
Il corpo umano,la cheville,f,la caviglia,le caviglie,'Caviglia' → à retenir par cœur
Il corpo umano,le cœur,m,il cuore,i cuori,'Cuore' → 'cœur' (proche)
Il corpo umano,le cerveau,m,il cervello,i cervelli,'Cervello' → 'cerveau' (quasi identique)
Il corpo umano,l'estomac,m,lo stomaco,gli stomaci,'Stomaco' → 'estomac' (quasi identique)
Il corpo umano,le foie,m,il fegato,i fegati,'Fegato' → à retenir par cœur
Il corpo umano,les poumons,m pl,il polmone (sg),i polmoni,'Polmone' → 'poumon' (proche)
Il corpo umano,les reins,m pl,il rene (sg),i reni,'Rene' → 'rein' (quasi identique)
Il corpo umano,un os,m,un osso,le ossa,Pluriel féminin irrégulier !
Il corpo umano,un muscle,m,un muscolo,i muscoli,'Muscolo' → 'muscle' (quasi identique)
Il corpo umano,la peau,f,la pelle,le pelli,'Pelle' → 'peau' (proche)
Il corpo umano,le sang,m,il sangue,i sangui,'Sangue' → 'sang' (quasi identique)
I vestiti e gli accessori,une chemise,f,una camicia,le camicie,'Camicia' → 'chemise' (proche)
I vestiti e gli accessori,un t-shirt,f,una t-shirt,le t-shirt,Mot anglais adopté
I vestiti e gli accessori,un pull,m,un maglione,i maglioni,'Maglione' → 'maille' (tricot)
I vestiti e gli accessori,un manteau,m,un cappotto,i cappotti,'Cappotto' → 'capote' (manteau)
I vestiti e gli accessori,une veste,f,una giacca,le giacche,'Giacca' → 'jaquette'
I vestiti e gli accessori,un pantalon,m,un pantalone,i pantaloni,'Pantalone' → personnage de la Commedia dell'arte !
I vestiti e gli accessori,un jean,m,un jeans,i jeans,Mot anglais adopté
I vestiti e gli accessori,un short,m,un pantaloncino,i pantaloncini,'Pantaloncino' = petit pantalon
I vestiti e gli accessori,une jupe,f,una gonna,le gonne,'Gonna' → à retenir par cœur
I vestiti e gli accessori,une robe,m,un abito,gli abiti,'Abito' → 'habit / robe'
I vestiti e gli accessori,un pyjama,m,un pigiama,i pigiami,'Pigiama' → 'pyjama' (quasi identique)
I vestiti e gli accessori,un maillot de bain,m,un costume da bagno,i costumi da bagno,'Costume da bagno' = tenue de bain
I vestiti e gli accessori,un imperméable,m,un impermeabile,gli impermeabili,'Impermeabile' → 'imperméable' (quasi identique)
I vestiti e gli accessori,des chaussettes,f pl,un calzino (sg),i calzini,'Calzino' → 'chaussette' (calza = bas)
I vestiti e gli accessori,des baskets,f pl,una scarpa da ginnastica (sg),le scarpe da ginnastica,'Scarpa da ginnastica' = chaussure de gym
I vestiti e gli accessori,des bottes,f pl,uno stivale (sg),gli stivali,'Stivale' → 'botte' (à retenir)
I vestiti e gli accessori,des sandales,f pl,un sandalo (sg),i sandali,'Sandalo' → 'sandale' (quasi identique)
I vestiti e gli accessori,un chapeau,m,un cappello,i cappelli,'Cappello' → 'chapeau' (proche)
I vestiti e gli accessori,une casquette,m,un cappellino,i cappellini,'Cappellino' = petit chapeau
I vestiti e gli accessori,une écharpe,f,una sciarpa,le sciarpe,'Sciarpa' → 'écharpe' (proche)
I vestiti e gli accessori,une ceinture,f,una cintura,le cinture,'Cintura' → 'ceinture' (proche)
I vestiti e gli accessori,une cravate,f,una cravatta,le cravatte,'Cravatta' → 'cravate' (vient du mot croate !)
I vestiti e gli accessori,des lunettes de soleil,f pl,un occhiale da sole (sg),gli occhiali da sole,'Occhiale' → 'oculus' (œil en latin)
I vestiti e gli accessori,un sac à main,f,una borsa a mano,le borse a mano,'Borsa' → 'bourse / sac'
I vestiti e gli accessori,un sac à dos,m,uno zaino,gli zaini,'Zaino' → à retenir par cœur
I vestiti e gli accessori,une montre,m,un orologio,gli orologi,'Orologio' → 'horloge'
I vestiti e gli accessori,une bague,m,un anello,gli anelli,'Anello' → 'anneau'
I vestiti e gli accessori,un collier,f,una collana,le collane,'Collana' → 'collier' (proche)
I vestiti e gli accessori,s'habiller,—,vestirsi,—,'Vestirsi' → 'se vêtir' (réfléchi)
I vestiti e gli accessori,à la mode,—,alla moda,—,'Alla moda' = à la mode (même expression !)
Il viaggio e il turismo,un voyage,m,un viaggio,i viaggi,'Viaggio' → 'voyage' (proche)
Il viaggio e il turismo,les vacances,f pl,la vacanza (sg),le vacanze,'Vacanza' → 'vacance' (vide)
Il viaggio e il turismo,un touriste,m,un turista,i turisti,'Turista' → 'touriste' (quasi identique)
Il viaggio e il turismo,un aéroport,m,un aeroporto,gli aeroporti,'Aeroporto' → 'aéroport' (quasi identique)
Il viaggio e il turismo,un passeport,m,un passaporto,i passaporti,'Passaporto' = passe + porto (port)
Il viaggio e il turismo,un billet,m,un biglietto,i biglietti,'Biglietto' → 'billet' (proche)
Il viaggio e il turismo,un billet aller-retour,m,un biglietto andata e ritorno,—,'Andata e ritorno' = aller et retour
Il viaggio e il turismo,une valise,f,una valigia,le valigie,'Valigia' → 'valise' (quasi identique)
Il viaggio e il turismo,un sac à dos,m,uno zaino,gli zaini,'Zaino' → à retenir par cœur
Il viaggio e il turismo,un hôtel,m,un hotel,gli hotel,Mot international !
Il viaggio e il turismo,une chambre,f,una camera,le camere,'Camera' → 'chambre' (latin camera)
Il viaggio e il turismo,une réservation,f,una prenotazione,le prenotazioni,'Pre + notazione' = noter à l'avance
Il viaggio e il turismo,l'arrivée,m,l'arrivo,gli arrivi,'Arrivo' → 'arrivée' (quasi identique)
Il viaggio e il turismo,un départ,f,una partenza,le partenze,'Partenza' → 'départ' (proche)
Il viaggio e il turismo,en avion,—,in aereo,—,'In aereo' = en avion
Il viaggio e il turismo,en train,—,in treno,—,'In treno' = en train
Il viaggio e il turismo,en voiture,—,in auto,—,'In auto' = en voiture
Il viaggio e il turismo,en bateau,—,in barca,—,'In barca' = en bateau
Il viaggio e il turismo,un musée,m,un museo,i musei,'Museo' → 'musée' (quasi identique)
Il viaggio e il turismo,un monument,m,un monumento,i monumenti,'Monumento' → 'monument' (quasi identique)
Il viaggio e il turismo,une carte,f,una carta,le carte,'Carta' → 'carte' (quasi identique)
Il viaggio e il turismo,un plan de la ville,f,una mappa della città,—,'Mappa' → 'map'
Il viaggio e il turismo,une excursion,f,un'escursione,le escursioni,'Escursione' → 'excursion' (quasi identique)
Il viaggio e il turismo,une plage,f,una spiaggia,le spiagge,'Spiaggia' → épeler lettre par lettre
Il viaggio e il turismo,un souvenir,m,un souvenir,i souvenir,Mot français adopté !
Il viaggio e il turismo,un taxi,m,un taxi,i taxi,Mot international !
Il viaggio e il turismo,une gare,f,una stazione,le stazioni,'Stazione' → 'station'
Il viaggio e il turismo,réserver,—,prenotare,—,'Prenotare' = pré-noter
Il viaggio e il turismo,faire sa valise,—,fare la valigia,—,'Fare la valigia' = faire la valise
Il tempo,un siècle,m,un secolo,i secoli,'Secolo' → 'siècle' (proche)
Il tempo,une année,m,un anno,gli anni,'Anno' → 'an / année' (quasi identique)
Il tempo,un mois,m,un mese,i mesi,'Mese' → 'mois' (latin mensis)
Il tempo,une semaine,f,una settimana,le settimane,'Settimana' → 'sept' (7 jours !)
Il tempo,un jour,m,un giorno,i giorni,'Giorno' → 'jour' (proche)
Il tempo,une heure,f,un'ora,le ore,'Ora' → 'heure' (proche)
Il tempo,une minute,m,un minuto,i minuti,'Minuto' → 'minute' (quasi identique)
Il tempo,une seconde,m,un secondo,i secondi,'Secondo' → 'seconde' (quasi identique)
Il tempo,maintenant,—,ora / adesso,—,'Adesso' → 'à ce moment'
Il tempo,aujourd'hui,—,oggi,—,'Oggi' → court comme le présent !
Il tempo,demain,—,domani,—,'Domani' → 'demain' (proche)
Il tempo,hier,—,ieri,—,'Ieri' → 'hier' (proche)
Il tempo,avant,—,prima,—,'Prima' → 'en premier / avant'
Il tempo,après,—,dopo,—,'Dopo' → 'après' (latin post)
Il tempo,toujours,—,sempre,—,'Sempre' → terme musical = toujours
Il tempo,jamais,—,mai,—,'Mai' → court comme un refus catégorique
Il tempo,tôt,—,presto,—,'Presto' → terme musical = vite / tôt
Il tempo,tard,—,tardi,—,'Tardi' → 'tard' (quasi identique)
Il tempo,le matin,f,la mattina,le mattine,'Mattina' → 'matin' (proche)
Il tempo,l'après-midi,m,il pomeriggio,i pomeriggi,'Pomeriggio' → 'après-midi' (à retenir)
Il tempo,le soir,f,la sera,le sere,'Sera' → 'soir' (proche)
Il tempo,la nuit,f,la notte,le notti,'Notte' → 'nuit' (latin nocte)
Il tempo,midi,m,mezzogiorno,—,'Mezzo + giorno' = demi-jour = midi !
Il tempo,minuit,f,mezzanotte,—,'Mezzo + notte' = demi-nuit = minuit !
Il tempo,bientôt,—,presto,—,'Presto' → même mot que 'tôt'
Il tempo,souvent,—,spesso,—,'Spesso' → à retenir par cœur
Il tempo,parfois,—,qualche volta,—,'Qualche volta' = quelques fois
Il tempo,rarement,—,raramente,—,'Raramente' → 'rarement' (quasi identique)
Il tempo,tout de suite,—,subito,—,'Subito' → terme musical = immédiatement
Il tempo,le lever du soleil,m,il sorgere del sole,—,'Sorgere' = surgir (le soleil surgit)
Il tempo,le coucher du soleil,m,il tramonto,i tramonti,'Tramonto' → 'coucher de soleil' (beau mot !)
Il tempo,un calendrier,m,un calendario,i calendari,'Calendario' → 'calendrier' (quasi identique)
La scuola,une école,f,una scuola,le scuole,'Scuola' → 'école' (proche)
La scuola,une université,f,una università,le università,'Università' → 'université' (quasi identique)
La scuola,une classe,f,una classe,le classi,'Classe' → identique au français !
La scuola,un cours,m,un corso,i corsi,'Corso' → 'cours' (proche)
La scuola,un élève / étudiant,m,uno studente,gli studenti,'Studente' → 'étudiant' (quasi identique)
La scuola,un professeur,m,un professore,i professori,'Professore' → 'professeur' (quasi identique)
La scuola,un directeur,m,un direttore,i direttori,'Direttore' → 'directeur' (quasi identique)
La scuola,un livre,m,un libro,i libri,'Libro' → 'livre' (latin liber)
La scuola,un cahier,m,un quaderno,i quaderni,'Quaderno' → 'carré' (feuilles carrées)
La scuola,un stylo,f,una penna,le penne,'Penna' → 'plume / stylo'
La scuola,un crayon,f,una matita,le matite,'Matita' → à retenir par cœur
La scuola,une gomme,f,una gomma,le gomme,'Gomma' → 'gomme' (quasi identique)
La scuola,une règle,m,un righello,i righelli,'Righello' → 'règle' (proche)
La scuola,un tableau,f,una lavagna,le lavagne,'Lavagna' → 'ardoise' (pierre de Ligurie)
La scuola,une bibliothèque,f,una biblioteca,le biblioteche,'Biblioteca' → 'bibliothèque' (quasi identique)
La scuola,une cantine,f,la mensa,le mense,'Mensa' → 'table' (latin)
La scuola,un examen,m,un esame,gli esami,'Esame' → 'examen' (quasi identique)
La scuola,un diplôme,m,un diploma,i diplomi,'Diploma' → 'diplôme' (quasi identique)
La scuola,les devoirs,m pl,il compito (sg),i compiti,'Compito' = tâche / devoir
La scuola,une leçon,f,una lezione,le lezioni,'Lezione' → 'leçon' (quasi identique)
La scuola,une note,f,una nota,le note,'Nota' → 'note' (quasi identique)
La scuola,une matière,f,una materia,le materie,'Materia' → 'matière' (quasi identique)
La scuola,les mathématiques,f pl,la matematica,—,'Matematica' → 'mathématiques' (quasi identique)
La scuola,l'histoire,f,la storia,le storie,'Storia' → 'histoire' (proche)
La scuola,la géographie,f,la geografia,—,'Geografia' → 'géographie' (quasi identique)
La scuola,les sciences,f pl,la scienza,le scienze,'Scienza' → 'science' (quasi identique)
La scuola,apprendre,—,imparare,—,'Imparare' → 'impartir' un savoir
La scuola,étudier,—,studiare,—,'Studiare' → 'étudier' (quasi identique)
La scuola,réussir un examen,—,superare un esame,—,'Superare' = dépasser / réussir
La scuola,rater un examen,—,fallire un esame,—,'Fallire' → 'faillir / échouer'
La scuola,la récréation,f,la ricreazione,le ricreazioni,'Ricreazione' → 'récréation' (quasi identique)
I mestieri,un avocat,m,un avvocato,gli avvocati,'Avvocato' → 'avocat' (proche)
I mestieri,un médecin,m,un medico,i medici,'Medico' → 'médecin' (proche)
I mestieri,un dentiste,m,un dentista,i dentisti,'Dentista' → 'dentiste' (quasi identique)
I mestieri,un pharmacien,m,un farmacista,i farmacisti,'Farmacista' → 'pharmacien' (proche)
I mestieri,un infirmier,m,un infermiere,gli infermieri,'Infermiere' → 'infirmier' (quasi identique)
I mestieri,un professeur,m,un professore,i professori,'Professore' → 'professeur' (quasi identique)
I mestieri,un ingénieur,m,un ingegnere,gli ingegneri,'Ingegnere' → 'ingénieur' (proche)
I mestieri,un comptable,m,un contabile,i contabili,'Contabile' → 'comptable' (quasi identique)
I mestieri,un architecte,m,un architetto,gli architetti,'Architetto' → 'architecte' (quasi identique)
I mestieri,un policier,m,un poliziotto,i poliziotti,'Poliziotto' → 'policier' (proche)
I mestieri,un pompier,m,un pompiere,i pompieri,'Pompiere' → 'pompier' (quasi identique)
I mestieri,un cuisinier,m,un cuoco,i cuochi,'Cuoco' → 'cuisinier / cook'
I mestieri,un boulanger,m,un panettiere,i panettieri,'Panettiere' → 'pain' (pane)
I mestieri,un boucher,m,un macellaio,i macellai,'Macellaio' → 'boucher' (à retenir)
I mestieri,un coiffeur,m,un parrucchiere,i parrucchieri,'Parrucchiere' → 'perruquier / coiffeur'
I mestieri,un serveur,m,un cameriere,i camerieri,'Cameriere' → 'garçon / serveur'
I mestieri,un vendeur,m,un venditore,i venditori,'Venditore' → 'vendeur' (quasi identique)
I mestieri,un mécanicien,m,un meccanico,i meccanici,'Meccanico' → 'mécanicien' (quasi identique)
I mestieri,un électricien,m,un elettricista,gli elettricisti,'Elettricista' → 'électricien' (quasi identique)
I mestieri,un plombier,m,un idraulico,gli idraulici,'Idraulico' → 'hydraulique' (eau = plomberie)
I mestieri,un journaliste,m,un giornalista,i giornalisti,'Giornalista' → 'journaliste' (quasi identique)
I mestieri,un écrivain,m,uno scrittore,gli scrittori,'Scrittore' → 'scribe / écrivain'
I mestieri,un musicien,m,un musicista,i musicisti,'Musicista' → 'musicien' (quasi identique)
I mestieri,un acteur,m,un attore,gli attori,'Attore' → 'acteur' (proche)
I mestieri,un fermier,m,un agricoltore,gli agricoltori,'Agricoltore' → 'agriculteur'
I mestieri,un pilote,m,un pilota,i piloti,'Pilota' → 'pilote' (quasi identique)
I mestieri,un chef d'entreprise,m,un imprenditore,gli imprenditori,'Imprenditore' → 'entrepreneur'
I mestieri,un travail,m,un lavoro,i lavori,'Lavoro' → 'labeur / travail'
La città e i luoghi pubblici,une ville,f,una città,le città,'Città' → 'cité' (latin civitas)
La città e i luoghi pubblici,un village,m,un villaggio,i villaggi,'Villaggio' → 'village' (quasi identique)
La città e i luoghi pubblici,le centre-ville,m,il centro città,—,'Centro città' = centre de la ville
La città e i luoghi pubblici,une rue,f,una strada,le strade,'Strada' → 'route / rue'
La città e i luoghi pubblici,un trottoir,m,un marciapiede,i marciapiedi,'Marcia + piede' = marche + pied !
La città e i luoghi pubblici,un pont,m,un ponte,i ponti,'Ponte' → 'pont' (quasi identique)
La città e i luoghi pubblici,un carrefour,m,un incrocio,gli incroci,'Incrocio' → 'croisement'
La città e i luoghi pubblici,un feu de signalisation,m,un semaforo,i semafori,'Semaforo' → 'sémaphore'
La città e i luoghi pubblici,un parc,m,un parco,i parchi,'Parco' → 'parc' (quasi identique)
La città e i luoghi pubblici,une place,f,una piazza,le piazze,'Piazza' → 'place' (quasi identique)
La città e i luoghi pubblici,un marché,m,un mercato,i mercati,'Mercato' → 'marché' (proche)
La città e i luoghi pubblici,un magasin,m,un negozio,i negozi,'Negozio' → 'négoce / magasin'
La città e i luoghi pubblici,un supermarché,m,un supermercato,i supermercati,'Supermercato' → 'supermarché' (quasi identique)
La città e i luoghi pubblici,un centre commercial,m,un centro commerciale,i centri commerciali,'Centro commerciale' → 'centre commercial'
La città e i luoghi pubblici,un restaurant,m,un ristorante,i ristoranti,'Ristorante' → 'restaurant' (quasi identique)
La città e i luoghi pubblici,un hôpital,m,un ospedale,gli ospedali,'Ospedale' → 'hôpital' (latin hospitalis)
La città e i luoghi pubblici,une pharmacie,f,una farmacia,le farmacie,'Farmacia' → 'pharmacie' (quasi identique)
La città e i luoghi pubblici,une banque,f,una banca,le banche,'Banca' → 'banque' (quasi identique)
La città e i luoghi pubblici,un bureau de poste,m,un ufficio postale,gli uffici postali,'Ufficio postale' = bureau de poste
La città e i luoghi pubblici,une église,f,una chiesa,le chiese,'Chiesa' → 'église' (à retenir)
La città e i luoghi pubblici,un musée,m,un museo,i musei,'Museo' → 'musée' (quasi identique)
La città e i luoghi pubblici,un théâtre,m,un teatro,i teatri,'Teatro' → 'théâtre' (quasi identique)
La città e i luoghi pubblici,un cinéma,m,un cinema,i cinema,'Cinema' → identique !
La città e i luoghi pubblici,une gare,f,una stazione,le stazioni,'Stazione' → 'station'
La città e i luoghi pubblici,un arrêt de bus,f,una fermata dell'autobus,le fermate,'Fermata' → 'arrêt' (fermare = arrêter)
La città e i luoghi pubblici,une piscine,f,una piscina,le piscine,'Piscina' → 'piscine' (quasi identique)
La città e i luoghi pubblici,un parking,m,un parcheggio,i parcheggi,'Parcheggio' → 'parking' (proche)
La città e i luoghi pubblici,un quartier,m,un quartiere,i quartieri,'Quartiere' → 'quartier' (quasi identique)
La città e i luoghi pubblici,la banlieue,f,la periferia,le periferie,'Periferia' → 'périphérie / banlieue'
Il calendario,lundi,m,lunedì,—,'Luna + dì' = jour de la lune !
Il calendario,mardi,m,martedì,—,'Marte + dì' = jour de Mars (dieu guerre)
Il calendario,mercredi,m,mercoledì,—,'Mercurio + dì' = jour de Mercure
Il calendario,jeudi,m,giovedì,—,'Giove + dì' = jour de Jupiter
Il calendario,vendredi,m,venerdì,—,'Venere + dì' = jour de Vénus !
Il calendario,samedi,m,sabato,—,'Sabato' → 'sabbat' (repos)
Il calendario,dimanche,m,domenica,—,'Domenica' = jour du Seigneur (dominus)
Il calendario,janvier,m,gennaio,—,'Giano' = Janus (dieu à deux visages)
Il calendario,février,m,febbraio,—,'Februum' = purification (rites romains)
Il calendario,mars,m,marzo,—,'Marte' = Mars (dieu de la guerre)
Il calendario,avril,m,aprile,—,'Aprire' = ouvrir (la nature s'ouvre)
Il calendario,mai,m,maggio,—,'Maia' = déesse romaine de la croissance
Il calendario,juin,m,giugno,—,'Giunone' = Junon (déesse)
Il calendario,juillet,m,luglio,—,'Giulio Cesare' = Jules César !
Il calendario,août,m,agosto,—,'Augusto' = empereur Auguste
Il calendario,septembre,m,settembre,—,'Sette' = sept (7ème mois du calendrier romain)
Il calendario,octobre,m,ottobre,—,'Otto' = huit (8ème mois du calendrier romain)
Il calendario,novembre,m,novembre,—,'Nove' = neuf (9ème mois du calendrier romain)
Il calendario,décembre,m,dicembre,—,'Dieci' = dix (10ème mois du calendrier romain)
Il calendario,le printemps,f,la primavera,—,'Prima + vera' = première vérité / premier vert
Il calendario,l'été,f,l'estate,—,'Estate' → 'été' (à retenir)
Il calendario,l'automne,m,l'autunno,—,'Autunno' → 'automne' (quasi identique)
Il calendario,l'hiver,m,l'inverno,—,'Inverno' → 'hiver' (proche)
Il calendario,une saison,f,una stagione,le stagioni,'Stagione' → 'saison' (quasi identique)
I colori e le forme,blanc,m,bianco,bianchi,'Bianco' → 'blanc' (proche)
I colori e le forme,noir,m,nero,neri,'Nero' → 'noir' (proche — aussi prénom !)
I colori e le forme,gris,m,grigio,grigi,'Grigio' → 'gris' (proche)
I colori e le forme,jaune,m,giallo,gialli,'Giallo' → 'jaune' (proche)
I colori e le forme,orange,m/f,arancione,arancioni,'Arancione' → 'orange' (arancia = orange fruit)
I colori e le forme,vert,m,verde,verdi,'Verde' → 'vert' (quasi identique)
I colori e le forme,bleu,m,blu,blu,'Blu' → 'bleu' (quasi identique) — invariable !
I colori e le forme,rouge,m,rosso,rossi,'Rosso' → 'rouge' (proche)
I colori e le forme,marron,m,marrone,marroni,'Marrone' → 'marron' (quasi identique)
I colori e le forme,violet,m,viola,viola,'Viola' → 'violet' (instrument aussi !) — invariable !
I colori e le forme,rose,m/f,rosa,rosa,'Rosa' → 'rose' (identique) — invariable !
I colori e le forme,beige,m/f,beige,beige,Mot français adopté — invariable !
I colori e le forme,foncé,m,scuro,scuri,'Scuro' → 'sombre / foncé'
I colori e le forme,doré,m,dorato,dorati,'Dorato' → 'doré' (quasi identique)
I colori e le forme,argenté,m,argentato,argentati,'Argentato' → 'argenté' (quasi identique)
I colori e le forme,un carré,m,un quadrato,i quadrati,'Quadrato' → 'carré' (latin quadratus)
I colori e le forme,un cercle,m,un cerchio,i cerchi,'Cerchio' → 'cercle' (quasi identique)
I colori e le forme,un triangle,m,un triangolo,i triangoli,'Triangolo' → 'triangle' (quasi identique)
I colori e le forme,un rectangle,m,un rettangolo,i rettangoli,'Rettangolo' → 'rectangle' (quasi identique)
I colori e le forme,un cœur,m,un cuore,i cuori,'Cuore' → 'cœur' (proche)
I colori e le forme,une étoile,f,una stella,le stelle,'Stella' → 'étoile / stella' (célèbre !)
I colori e le forme,une flèche,f,una freccia,le frecce,'Freccia' → 'flèche' (proche)
I colori e le forme,une spirale,f,una spirale,le spirali,'Spirale' → identique au français !
I sentimenti e le emozioni,l'amour,m,l'amore,gli amori,'Amore' → 'amour' (quasi identique)
I sentimenti e le emozioni,la joie,f,la gioia,le gioie,'Gioia' → 'joie' (quasi identique)
I sentimenti e le emozioni,le bonheur,f,la felicità,—,'Felicità' → 'félicité'
I sentimenti e le emozioni,la tristesse,f,la tristezza,—,'Tristezza' → 'tristesse' (quasi identique)
I sentimenti e le emozioni,la peur,f,la paura,le paure,'Paura' → 'peur' (à retenir)
I sentimenti e le emozioni,la colère,f,la rabbia,le rabbie,'Rabbia' → 'rage' = colère
I sentimenti e le emozioni,la surprise,f,la sorpresa,le sorprese,'Sorpresa' → 'surprise' (quasi identique)
I sentimenti e le emozioni,l'espoir,f,la speranza,—,'Speranza' → 'espérance'
I sentimenti e le emozioni,la jalousie,f,la gelosia,—,'Gelosia' → 'jalousie' (proche)
I sentimenti e le emozioni,la haine,m,l'odio,—,'Odio' → 'odieux' (haine)
I sentimenti e le emozioni,la nostalgie,f,la nostalgia,—,'Nostalgia' → identique au français !
I sentimenti e le emozioni,le plaisir,m,il piacere,i piaceri,'Piacere' → 'plaisir' (proche)
I sentimenti e le emozioni,le soulagement,m,il sollievo,i sollievi,'Sollievo' → 'soulagement' (proche)
I sentimenti e le emozioni,content,m,contento,contenti,'Contento' → 'content' (quasi identique)
I sentimenti e le emozioni,heureux,m,felice,felici,'Felice' → 'félicitations'
I sentimenti e le emozioni,triste,m/f,triste,tristi,'Triste' → identique au français !
I sentimenti e le emozioni,en colère,m,arrabbiato,arrabbiati,'Arrabbiato' → 'en rage'
I sentimenti e le emozioni,fatigué,m,stanco,stanchi,'Stanco' → à retenir par cœur
I sentimenti e le emozioni,inquiet,m,preoccupato,preoccupati,'Preoccupato' → 'préoccupé'
I sentimenti e le emozioni,surpris,m,sorpreso,sorpresi,'Sorpreso' → 'surpris' (quasi identique)
I sentimenti e le emozioni,jaloux,m,geloso,gelosi,'Geloso' → 'jaloux' (proche)
I sentimenti e le emozioni,fier,m,orgoglioso,orgogliosi,'Orgoglioso' → 'orgueilleux / fier'
I sentimenti e le emozioni,nerveux,m,nervoso,nervosi,'Nervoso' → 'nerveux' (quasi identique)
I sentimenti e le emozioni,timide,m/f,timido,timidi,'Timido' → 'timide' (quasi identique)
I sentimenti e le emozioni,aimer,—,amare,—,'Amare' → 'amour' (latin amor)
I sentimenti e le emozioni,détester,—,detestare,—,'Detestare' → 'détester' (quasi identique)
I sentimenti e le emozioni,espérer,—,sperare,—,'Sperare' → 'espérer' (proche)
I sentimenti e le emozioni,rire,—,ridere,—,'Ridere' → 'ridicule' (qui fait rire)
I sentimenti e le emozioni,pleurer,—,piangere,—,'Piangere' → 'plainte'
I sentimenti e le emozioni,sourire,—,sorridere,—,'Sorridere' → 'sourire' (proche)
Lo spazio e le direzioni,le Nord,m,il nord,—,Mot international
Lo spazio e le direzioni,le Sud,m,il sud,—,Mot international
Lo spazio e le direzioni,l'Est,m,l'est,—,Mot international
Lo spazio e le direzioni,l'Ouest,m,l'ovest,—,'Ovest' → 'ouest' (proche)
Lo spazio e le direzioni,en haut,—,in alto,—,'In alto' = en haut (terme musical aussi)
Lo spazio e le direzioni,en bas,—,in basso,—,'In basso' = en bas (terme musical aussi)
Lo spazio e le direzioni,la gauche,f,la sinistra,—,'Sinistra' → 'sinistre' (gauche = mauvais présage autrefois)
Lo spazio e le direzioni,la droite,f,la destra,—,'Destra' → 'dextre' (droite en héraldique)
Lo spazio e le direzioni,devant,—,davanti,—,'Davanti' → 'devant' (proche)
Lo spazio e le direzioni,derrière,—,dietro,—,'Dietro' → 'derrière' (proche)
Lo spazio e le direzioni,dans,—,in,—,'In' → identique au latin !
Lo spazio e le direzioni,sur,—,su,—,'Su' → 'sus / sur' (latin)
Lo spazio e le direzioni,sous,—,sotto,—,'Sotto' → 'sous' (proche)
Lo spazio e le direzioni,entre,—,tra / fra,—,'Tra' → 'entre' (latin inter)
Lo spazio e le direzioni,à côté de,—,accanto a,—,'Accanto' → 'à côté / en chant (chant latéral)'
Lo spazio e le direzioni,à droite,—,a destra,—,'Destra' → 'dextre'
Lo spazio e le direzioni,à gauche,—,a sinistra,—,'Sinistra' → 'sinistre'
Lo spazio e le direzioni,en face,—,di fronte,—,'Di fronte' = de face / en face
Lo spazio e le direzioni,loin,—,lontano,—,'Lontano' → 'loin' (proche)
Lo spazio e le direzioni,près,—,vicino,—,'Vicino' → 'voisin' (proche)
Lo spazio e le direzioni,tout droit,—,diritto,—,'Diritto' → 'droit / direct'
Lo spazio e le direzioni,ici,—,qui,—,'Qui' → 'ici' (court comme le lieu)
Lo spazio e le direzioni,là-bas,—,laggiù,—,'Laggiù' = là + giù (en bas)
Lo spazio e le direzioni,où,—,dove,—,'Dove' → 'où' (à retenir)
Lo spazio e le direzioni,tourner,—,girare,—,'Girare' → 'gyrer / tourner'
Lo spazio e le direzioni,traverser,—,attraversare,—,'Attraversare' → 'traverser' (proche)
Lo spazio e le direzioni,se perdre,—,perdersi,—,'Perdersi' → 'se perdre' (réfléchi)
Lo shopping,un magasin,m,un negozio,i negozi,'Negozio' → 'négoce / magasin'
Lo shopping,le centre commercial,m,il centro commerciale,i centri commerciali,'Centro commerciale' → 'centre commercial'
